"date","hour","activity","workout","keywords","time","i0","i1","i2","i3","i4","i5","distance(km)","climb(m)","intensity","t-intensity","ahr","mhr","controls","spiked","rhr","sleep","weight(kg)","injured","sick","restday","shoes","route","description","private note"
"2010-01-15","17","Skidor","","","01:07:20","","00:01:28","00:09:38","00:54:39","00:01:35","","16.91","","2.84","","131","","","","","","","","","","Atomic RC11","","Skidor på golfbanan efter jobbet.
Hade tänkt köra stakintervaller men stavfästet var kasst så jag la ner dom planerna.",""
"2010-01-16","10","Orientering","","","00:18:03","","","","00:01:08","00:07:01","00:09:54","2.5","","4.49","","162","171","","","","","","","","","Inov8 X-talon","","LOK Sprint-cup, III (Trädgårdsföreningen)

10/23 +2.17

Fick 1:an och 2:an bra. Sprang sedan och läste in resten av banan vilket resulterade att jag sprang helt snett till 3:an och var borta vid 6:an och letade innan jag insåg mitt misstag. Hade 4.30 på sträckan...
Sprang sedan ok i mittenpartiet även om motivationen var borta. Gjorde ett klantigt misstag till 12:an då jag sprang in i, vad jag trodde, var en återvändsgränd (vilket det inte var) och vände. Missade även målet något..
Dåligt!!

Resultat:
http://www.obasen.nu/winsplits/online/sv/default.asp?page=table&databaseId=13346&categoryId=0",""
"2010-01-16","10","Running","warm up/down","","00:19:19","","","00:19:19","","","","4.1","","2.0","","","","","","","","","","","","Inov8 X-talon","","",""
"2010-01-17","10","Orientering","","","01:06:11","","","00:01:04","00:05:07","00:58:08","00:01:52","10.2","","3.92","","157","166","","","","","","","","","Inov8 Mudclaw 270 II","","Sunes bana

Ingen uppvärming alls.. orkade inte.
Seg början, men kom igång hyfsat på vägen till tvåan. Hade inte full koll när jag gick in mot tvåan som var en sten i ett difust område. Detta medförde att jag gick snett och la bort över 3min.
Sprang sedan hyfsat. Mötte AB ut från trean, och tänkte att han inte skulle få komma ikapp.
Håller honom stången länge men tar ett dåligt vägval till 7:an samt missar 9:an, vilket gör att han kommer ikapp och går förbi. Jag springer dock bra och kommer ikapp igen vid 11:an. Vi håller ihop ända in i mål. 

Resultat:
http://www.lok.se/index.php?page=1068",""
"2010-01-18","18","Styrka","","","00:50:00","","","","00:50:00","","","","","3.0","","","","","","","","","","","","","","LOK gympa.
5 varv. Sista varvet var jobbigt..",""
"2010-01-18","18","Innebandy","","","00:15:00","","","00:15:00","","","","","","2.0","","","","","","","","","","","","","","",""
"2010-01-19","18","Löpning terräng","","","00:21:37","","","","00:00:20","00:09:49","00:11:28","4.6","","4.52","","164","171","","","","","","","","","Inov8 Mudclaw 270 II","","Martins bana, 1 varv.

Ny testrunda på initiativ av AB. Mycket snö på rundan men det gick rätt bra ändå. Fick order att dra burken första biten och jag lydde ordern. Körde på rätt hårt första 1,5 km. Sen tappade jag lite fart och då gick burken om. Jag valde att inte hänga på eftersom jag då hade dragit på mig för mycket syra.
Efter 10min dog tyvärr lampan. Jag körde dock vidare men det var väldigt svårt att springa fort samt att jag sprang fel på några ställen. Tappade rätt mycket tid på detta...
",""
"2010-01-19","18","Löpning terräng","warm up/down","","00:40:10","","","00:40:10","","","","6.1","","2.0","","","","","","","","","","","","Inov8 Mudclaw 270 II","","Lång uppvärmning och lite kortare nedjogg. Mestadels i skogen.",""
"2010-01-20","12","Running","","","00:30:00","","00:01:19","00:08:45","00:05:39","00:14:17","","6.5","","3.1","","136","154","","","","","","","","","Saucony Fastwitch","","Lunchpass på CH.
Körde backe på bandet. 5min uppvärming, sedan 20min med rejäl lutning (nivå 25) följt av 5min nedjogg.",""
"2010-01-20","12","Styrka","","","00:10:00","","","","00:10:00","","","","","3.0","","","","","","","","","","","","","","Lite styrka i gymmet också.",""
"2010-01-20","18","Skidor","intervals","","00:30:00","","","","","00:30:00","","9.2","","4.0","","157","165","","","","","","","","","Atomic RC11","","Drog till Sya på kvällen med Jonas. 
Efter lite uppvärmning körde jag 10min intervaller med 5min lätt åkning imellan. 
Hade planerat att köra fyra, men var riktigt seg så jag nöjde mig med 3. Körde enbart stakning, så det blev en del huggande.",""
"2010-01-20","18","Skidor","warm up/down","","00:46:03","","00:01:58","00:02:37","00:22:13","00:19:15","","11.9","","3.28","","","","","","","","","","","","Atomic RC11","","Uppvärming, körning mellan seten samt nedkörning.",""
"2010-01-21","18","Orientering","","","00:56:42","","","","00:01:40","00:55:02","","9.0","","3.97","","159","167","","","","","","","","","Inov8 Mudclaw 270 II","","Tiomilaträning vid LOK-gården.
Först två gafflade slingor, sedan en gemensam. 
Började dåligt och missade 1:an. Sen flöt det dock på bra. Var själv på min gaffel men kom ihop med AB och Ptr strax före varvningen. Hade sedan lite kortare andra slinga än dem och jag kunde rycka ifrån. Trots tunga ben kunde jag utöka ledningen på sista slingan och var tilll slut 5min före AB. 

Mina tider: (enligt egen klocka)
G2: 19.02
G1: 17.18
R:   20.22",""
"2010-01-21","18","Löpning terräng","warm up/down","","00:20:17","","00:02:50","00:15:02","00:02:25","","","3.1","","1.98","","","","","","","","","","","","Inov8 Mudclaw 270 II","","Uppvärmning med Ptr.",""
"2010-01-22","","Note","","","","","","","","","","","","","","","","","","","","","","","1","","","Vilodag.
Resa hem till Ölsremma.
Grym träningsvärk i baklåren. Får bli till att ta det lugnt nu innan loppet på söndag.",""
"2010-01-23","10","Skidor","","","01:35:00","","01:35:00","","","","","14.7","","1.0","","","","","","","","","","","","Atomic RC11","","Jag, Sara samt mor och far drog ut en sväng på mossen. Vi körde ända till mörkösjön och grillade korv. Fick spåra nästan hela vägen. 
Riktigt nice...",""
"2010-01-24","10","Skidor","race","","02:27:00","","","00:01:49","00:14:50","02:00:40","00:09:41","43.358","","3.94","","153","171","","","","","","","","","Madshus Nanosonic","","Stråkenloppet
28/333 (H21) + 22.36

Första långloppet för året. Skulle bli kul att se hur skidformen verkligen var...
Skidorna kändes bra under testerna före loppet men var dock osäker på mina små trugor på stavarna. Start och mål var på en golfbana där snön var ganska lös, så jag trodde spåren skulle vara hårdare utmed banan. 

Fick en knackig start och hamnade rätt långt bak fältet. Hade riktigt svårt att staka i den lösa snön. Hoppades dock att det skulle bli bättre, men strax efter golfbanan gick spåret ut på en myr och där var stavfästet ännu sämre. Lackade ut lite, men körde ändå på..
Plockade lite placeringar på vägarna, framförallt i uppförkörningarna. 

Ut på andra varvet var stavfästet ännu sämre, eftersom över 1000 åkare hade kört där. Tappade flera placeringar på golfbanan samt myren. Psykiskt jobbigt...körde på hyfsat in till målet och kunde plocka några av gubbarna som körde om mig.

Inget bra lopp. Hade helt klart högre förväntningar. Hoppas att nästa lopp har bättre och hårdare spår.

Resultat:
http://www.strakenloppet.se/strares10.pdf

Lite data från loppet:
Varv 1: Tid (medelpuls)
0-5 km    :  17.18 (161)
5-10 km   :  16:41 (159)
10-15 km  :  15:23 (153)
15-21.5 km:  20:42 (149)
Tot       :  1.10.02 (155)

Varv 2:Tid, skillnad från varv 1 (%) (medelpuls)
0-5 km    :  19.35 +2.17 (+13.2%) (150)
5-10 km   :  18:38 +1.58 (+11.8%) (150)
10-15 km  :  16:54 +1.31 (+9.9%) (148)
15-21.5 km:  21:27 +0.45 (3.6%) (150)
Tot       :  1.16.34 +6.32 (9.3%) (150) ",""
"2010-01-25","18","Styrka","","","00:50:00","","","","00:50:00","","","","","3.0","","","","","","","","","","","","","","Rockgympa.
Trött i kroppen efter gårdagens race. Fuskade en hel del...",""
"2010-01-25","18","Innebandy","","","00:10:00","","","00:10:00","","","","","","2.0","","","","","","","","","","","","","","Lite innebandy efteråt.",""
"2010-01-26","19","Running","","","00:45:51","","00:00:43","00:09:32","00:35:36","","","9.629","","2.76","","128","143","","","","","","","","","Puma Trailfox III","","Skippade dagens Night Extreme i Stavsjö..
Fick bli ett lökpass hemma istället. 45min jogg runt Tinnerö.",""
"2010-01-27","18","Running","","","00:23:30","","00:02:26","00:19:17","00:01:47","","","4.079","","1.97","","115","130","","","","","","","","","","","Lunchträning - Nope. Hann tyvärr inte.
Hade planer på att köra något i CH på kvällen, men jag skippade det också.
Tilllslut gav mig ut för att köra lite backträning. Men efter bara 15min så började jag bli yr och fick ont i huvudet. Valde därför att jogga hem igen. Får se hur det känns imorrn. ",""
"2010-01-28","18","Running","intervals","","00:34:40","","","","","00:30:54","00:03:46","9.1","","4.11","","157","166","","","","","","","","","Puma Trailfox III","","Intervaller på handikappspåret.
5 varv med 1min vila.

Fick springa själv eftersom det inte var så många med. Underlaget gjorde att det var svårt att springa fort. Valde därför att köra med rätt kort vila (1min) för att få mer tröskelkaraktär på passet.

Varvtider:
6.52 - 7.01 - 7.02 - 6.53 - 6.52",""
"2010-01-28","18","Running","warm up/down","","00:15:10","","","00:15:10","","","","2.5","","2.0","","","","","","","","","","","","Puma Trailfox III","","Kort uppvärmning och ännu kortare nedjogg.",""
